index_no,model,simulation,scenario,run,step,time,agent_name,ammount
59,macro_Caiani,macro_Caiani,Scenario1,0,58,2020-11-25T11:58,Ba_1,29.663096951443205
60,macro_Caiani,macro_Caiani,Scenario1,0,59,2020-11-25T11:58,Ba_1,29.663096951443205
61,macro_Caiani,macro_Caiani,Scenario1,0,60,2020-11-25T11:58,Ba_1,29.663096951443205
62,macro_Caiani,macro_Caiani,Scenario1,0,61,2020-11-25T11:58,Ba_1,29.663096951443205
63,macro_Caiani,macro_Caiani,Scenario1,0,62,2020-11-25T11:58,Ba_1,29.663096951443205
64,macro_Caiani,macro_Caiani,Scenario1,0,63,2020-11-25T11:58,Ba_1,29.663096951443205
65,macro_Caiani,macro_Caiani,Scenario1,0,64,2020-11-25T11:58,Ba_1,29.663096951443205
66,macro_Caiani,macro_Caiani,Scenario1,0,65,2020-11-25T11:58,Ba_1,29.663096951443205
67,macro_Caiani,macro_Caiani,Scenario1,0,66,2020-11-25T11:58,Ba_1,29.663096951443205
68,macro_Caiani,macro_Caiani,Scenario1,0,67,2020-11-25T11:58,Ba_1,29.663096951443205
69,macro_Caiani,macro_Caiani,Scenario1,0,68,2020-11-25T11:58,Ba_1,29.663096951443205
70,macro_Caiani,macro_Caiani,Scenario1,0,69,2020-11-25T11:58,Ba_1,29.663096951443205
71,macro_Caiani,macro_Caiani,Scenario1,0,70,2020-11-25T11:58,Ba_1,29.663096951443205
72,macro_Caiani,macro_Caiani,Scenario1,0,71,2020-11-25T11:58,Ba_1,29.663096951443205
73,macro_Caiani,macro_Caiani,Scenario1,0,72,2020-11-25T11:58,Ba_1,29.663096951443205
74,macro_Caiani,macro_Caiani,Scenario1,0,73,2020-11-25T11:58,Ba_1,29.663096951443205
75,macro_Caiani,macro_Caiani,Scenario1,0,74,2020-11-25T11:58,Ba_1,29.663096951443205
76,macro_Caiani,macro_Caiani,Scenario1,0,75,2020-11-25T11:58,Ba_1,29.663096951443205
77,macro_Caiani,macro_Caiani,Scenario1,0,76,2020-11-25T11:58,Ba_1,29.663096951443205
78,macro_Caiani,macro_Caiani,Scenario1,0,77,2020-11-25T11:58,Ba_1,29.663096951443205
79,macro_Caiani,macro_Caiani,Scenario1,0,78,2020-11-25T11:58,Ba_1,29.663096951443205
80,macro_Caiani,macro_Caiani,Scenario1,0,79,2020-11-25T11:58,Ba_1,29.663096951443205
81,macro_Caiani,macro_Caiani,Scenario1,0,80,2020-11-25T11:58,Ba_1,29.663096951443205
82,macro_Caiani,macro_Caiani,Scenario1,0,81,2020-11-25T11:58,Ba_1,29.663096951443205
83,macro_Caiani,macro_Caiani,Scenario1,0,82,2020-11-25T11:58,Ba_1,29.663096951443205
84,macro_Caiani,macro_Caiani,Scenario1,0,83,2020-11-25T11:58,Ba_1,29.663096951443205
85,macro_Caiani,macro_Caiani,Scenario1,0,84,2020-11-25T11:58,Ba_1,29.663096951443205
86,macro_Caiani,macro_Caiani,Scenario1,0,85,2020-11-25T11:58,Ba_1,29.663096951443205
87,macro_Caiani,macro_Caiani,Scenario1,0,86,2020-11-25T11:58,Ba_1,29.663096951443205
