index_no,agent_happiness,agent_name,heat_rate,model,run,scenario,simulation,step,time
46,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,1,Scenario1,dumb_simulation,5,2019-09-30T19:36
47,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,1,Scenario1,dumb_simulation,5,2019-09-30T19:36
48,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,1,Scenario1,dumb_simulation,5,2019-09-30T19:36
49,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,1,Scenario1,dumb_simulation,6,2019-09-30T19:36
50,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,1,Scenario1,dumb_simulation,6,2019-09-30T19:36
51,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,1,Scenario1,dumb_simulation,6,2019-09-30T19:36
52,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,1,Scenario1,dumb_simulation,7,2019-09-30T19:36
53,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,1,Scenario1,dumb_simulation,7,2019-09-30T19:36
54,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,1,Scenario1,dumb_simulation,7,2019-09-30T19:36
55,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,1,Scenario1,dumb_simulation,8,2019-09-30T19:36
56,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,1,Scenario1,dumb_simulation,8,2019-09-30T19:36
57,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,1,Scenario1,dumb_simulation,8,2019-09-30T19:36
58,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,1,Scenario1,dumb_simulation,9,2019-09-30T19:36
59,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,1,Scenario1,dumb_simulation,9,2019-09-30T19:36
60,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,1,Scenario1,dumb_simulation,9,2019-09-30T19:36
61,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,2,Scenario1,dumb_simulation,0,2019-09-30T19:36
62,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,2,Scenario1,dumb_simulation,0,2019-09-30T19:36
63,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,2,Scenario1,dumb_simulation,0,2019-09-30T19:36
64,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,2,Scenario1,dumb_simulation,1,2019-09-30T19:36
65,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,2,Scenario1,dumb_simulation,1,2019-09-30T19:36
66,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,2,Scenario1,dumb_simulation,1,2019-09-30T19:36
67,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,2,Scenario1,dumb_simulation,2,2019-09-30T19:36
68,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,2,Scenario1,dumb_simulation,2,2019-09-30T19:36
69,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,2,Scenario1,dumb_simulation,2,2019-09-30T19:36
70,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,2,Scenario1,dumb_simulation,3,2019-09-30T19:36
71,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,2,Scenario1,dumb_simulation,3,2019-09-30T19:36
72,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,2,Scenario1,dumb_simulation,3,2019-09-30T19:36
73,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,2,Scenario1,dumb_simulation,4,2019-09-30T19:36
74,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,2,Scenario1,dumb_simulation,4,2019-09-30T19:36
75,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,2,Scenario1,dumb_simulation,4,2019-09-30T19:36
76,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,2,Scenario1,dumb_simulation,5,2019-09-30T19:36
77,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,2,Scenario1,dumb_simulation,5,2019-09-30T19:36
78,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,2,Scenario1,dumb_simulation,5,2019-09-30T19:36
79,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,2,Scenario1,dumb_simulation,6,2019-09-30T19:36
80,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,2,Scenario1,dumb_simulation,6,2019-09-30T19:36
81,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,2,Scenario1,dumb_simulation,6,2019-09-30T19:36
82,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,2,Scenario1,dumb_simulation,7,2019-09-30T19:36
83,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,2,Scenario1,dumb_simulation,7,2019-09-30T19:36
84,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,2,Scenario1,dumb_simulation,7,2019-09-30T19:36
85,4,Circumspect_Bug_0,0.6778382330543817,dumb_model,2,Scenario1,dumb_simulation,8,2019-09-30T19:36
86,9,Circumspect_Bug_1,1.1863044442853565,dumb_model,2,Scenario1,dumb_simulation,8,2019-09-30T19:36
87,5,Circumspect_Bug_2,1.1761390034970862,dumb_model,2,Scenario1,dumb_simulation,8,2019-09-30T19:36
