index_no,agent_happiness,agent_name,heat_rate,model,run,scenario,simulation,step,time
0,0, ,0.0,dumb_model,0, ,dumb_simulation,0,2019-09-30T19:50
1,3,Funny_Bug_0,0.8570976162235866,dumb_model,0,Scenario1,dumb_simulation,0,2019-09-30T19:50
2,1,Funny_Bug_1,0.9058745229553387,dumb_model,0,Scenario1,dumb_simulation,0,2019-09-30T19:50
3,4,Funny_Bug_2,1.0899010490903986,dumb_model,0,Scenario1,dumb_simulation,0,2019-09-30T19:50
4,4,Funny_Bug_3,1.1103193274828282,dumb_model,0,Scenario1,dumb_simulation,0,2019-09-30T19:50
5,5,Funny_Bug_4,0.67371095461461,dumb_model,0,Scenario1,dumb_simulation,0,2019-09-30T19:50
6,3,Funny_Bug_0,0.8570976162235866,dumb_model,0,Scenario1,dumb_simulation,1,2019-09-30T19:50
7,1,Funny_Bug_1,0.9058745229553387,dumb_model,0,Scenario1,dumb_simulation,1,2019-09-30T19:50
8,4,Funny_Bug_2,1.0899010490903986,dumb_model,0,Scenario1,dumb_simulation,1,2019-09-30T19:50
9,4,Funny_Bug_3,1.1103193274828282,dumb_model,0,Scenario1,dumb_simulation,1,2019-09-30T19:50
10,5,Funny_Bug_4,0.67371095461461,dumb_model,0,Scenario1,dumb_simulation,1,2019-09-30T19:50
11,3,Funny_Bug_0,0.8570976162235866,dumb_model,0,Scenario1,dumb_simulation,2,2019-09-30T19:50
12,1,Funny_Bug_1,0.9058745229553387,dumb_model,0,Scenario1,dumb_simulation,2,2019-09-30T19:50
13,4,Funny_Bug_2,1.0899010490903986,dumb_model,0,Scenario1,dumb_simulation,2,2019-09-30T19:50
14,4,Funny_Bug_3,1.1103193274828282,dumb_model,0,Scenario1,dumb_simulation,2,2019-09-30T19:50
15,5,Funny_Bug_4,0.67371095461461,dumb_model,0,Scenario1,dumb_simulation,2,2019-09-30T19:50
16,3,Funny_Bug_0,0.8570976162235866,dumb_model,0,Scenario1,dumb_simulation,3,2019-09-30T19:50
17,1,Funny_Bug_1,0.9058745229553387,dumb_model,0,Scenario1,dumb_simulation,3,2019-09-30T19:50
18,4,Funny_Bug_2,1.0899010490903986,dumb_model,0,Scenario1,dumb_simulation,3,2019-09-30T19:50
19,4,Funny_Bug_3,1.1103193274828282,dumb_model,0,Scenario1,dumb_simulation,3,2019-09-30T19:50
20,5,Funny_Bug_4,0.67371095461461,dumb_model,0,Scenario1,dumb_simulation,3,2019-09-30T19:50
21,3,Funny_Bug_0,0.8570976162235866,dumb_model,0,Scenario1,dumb_simulation,4,2019-09-30T19:50
22,1,Funny_Bug_1,0.9058745229553387,dumb_model,0,Scenario1,dumb_simulation,4,2019-09-30T19:50
23,4,Funny_Bug_2,1.0899010490903986,dumb_model,0,Scenario1,dumb_simulation,4,2019-09-30T19:50
24,4,Funny_Bug_3,1.1103193274828282,dumb_model,0,Scenario1,dumb_simulation,4,2019-09-30T19:50
25,5,Funny_Bug_4,0.67371095461461,dumb_model,0,Scenario1,dumb_simulation,4,2019-09-30T19:50
26,3,Funny_Bug_0,0.8570976162235866,dumb_model,0,Scenario1,dumb_simulation,5,2019-09-30T19:50
27,1,Funny_Bug_1,0.9058745229553387,dumb_model,0,Scenario1,dumb_simulation,5,2019-09-30T19:50
28,4,Funny_Bug_2,1.0899010490903986,dumb_model,0,Scenario1,dumb_simulation,5,2019-09-30T19:50
29,4,Funny_Bug_3,1.1103193274828282,dumb_model,0,Scenario1,dumb_simulation,5,2019-09-30T19:50
30,5,Funny_Bug_4,0.67371095461461,dumb_model,0,Scenario1,dumb_simulation,5,2019-09-30T19:50
31,3,Funny_Bug_0,0.8570976162235866,dumb_model,0,Scenario1,dumb_simulation,6,2019-09-30T19:50
32,1,Funny_Bug_1,0.9058745229553387,dumb_model,0,Scenario1,dumb_simulation,6,2019-09-30T19:50
33,4,Funny_Bug_2,1.0899010490903986,dumb_model,0,Scenario1,dumb_simulation,6,2019-09-30T19:50
34,4,Funny_Bug_3,1.1103193274828282,dumb_model,0,Scenario1,dumb_simulation,6,2019-09-30T19:50
35,5,Funny_Bug_4,0.67371095461461,dumb_model,0,Scenario1,dumb_simulation,6,2019-09-30T19:50
36,3,Funny_Bug_0,0.8570976162235866,dumb_model,0,Scenario1,dumb_simulation,7,2019-09-30T19:50
37,1,Funny_Bug_1,0.9058745229553387,dumb_model,0,Scenario1,dumb_simulation,7,2019-09-30T19:50
