index_no,agent_happiness,agent_name,heat_rate,model,run,scenario,simulation,step,time
48,4,Funny_Bug_2,1.1004172189501702,dumb_model,0,Scenario1,dumb_simulation,9,2019-09-30T19:36
49,2,Funny_Bug_3,0.8590859604036446,dumb_model,0,Scenario1,dumb_simulation,9,2019-09-30T19:36
50,4,Funny_Bug_4,1.1022236580438658,dumb_model,0,Scenario1,dumb_simulation,9,2019-09-30T19:36
51,6,Funny_Bug_0,1.369945454761616,dumb_model,1,Scenario1,dumb_simulation,0,2019-09-30T19:36
52,4,Funny_Bug_1,0.7899385433388226,dumb_model,1,Scenario1,dumb_simulation,0,2019-09-30T19:36
53,4,Funny_Bug_2,1.1004172189501702,dumb_model,1,Scenario1,dumb_simulation,0,2019-09-30T19:36
54,2,Funny_Bug_3,0.8590859604036446,dumb_model,1,Scenario1,dumb_simulation,0,2019-09-30T19:36
55,4,Funny_Bug_4,1.1022236580438658,dumb_model,1,Scenario1,dumb_simulation,0,2019-09-30T19:36
56,6,Funny_Bug_0,1.369945454761616,dumb_model,1,Scenario1,dumb_simulation,1,2019-09-30T19:36
57,4,Funny_Bug_1,0.7899385433388226,dumb_model,1,Scenario1,dumb_simulation,1,2019-09-30T19:36
58,4,Funny_Bug_2,1.1004172189501702,dumb_model,1,Scenario1,dumb_simulation,1,2019-09-30T19:36
59,2,Funny_Bug_3,0.8590859604036446,dumb_model,1,Scenario1,dumb_simulation,1,2019-09-30T19:36
60,4,Funny_Bug_4,1.1022236580438658,dumb_model,1,Scenario1,dumb_simulation,1,2019-09-30T19:36
61,6,Funny_Bug_0,1.369945454761616,dumb_model,1,Scenario1,dumb_simulation,2,2019-09-30T19:36
62,4,Funny_Bug_1,0.7899385433388226,dumb_model,1,Scenario1,dumb_simulation,2,2019-09-30T19:36
63,4,Funny_Bug_2,1.1004172189501702,dumb_model,1,Scenario1,dumb_simulation,2,2019-09-30T19:36
64,2,Funny_Bug_3,0.8590859604036446,dumb_model,1,Scenario1,dumb_simulation,2,2019-09-30T19:36
65,4,Funny_Bug_4,1.1022236580438658,dumb_model,1,Scenario1,dumb_simulation,2,2019-09-30T19:36
66,6,Funny_Bug_0,1.369945454761616,dumb_model,1,Scenario1,dumb_simulation,3,2019-09-30T19:36
67,4,Funny_Bug_1,0.7899385433388226,dumb_model,1,Scenario1,dumb_simulation,3,2019-09-30T19:36
68,4,Funny_Bug_2,1.1004172189501702,dumb_model,1,Scenario1,dumb_simulation,3,2019-09-30T19:36
69,2,Funny_Bug_3,0.8590859604036446,dumb_model,1,Scenario1,dumb_simulation,3,2019-09-30T19:36
70,4,Funny_Bug_4,1.1022236580438658,dumb_model,1,Scenario1,dumb_simulation,3,2019-09-30T19:36
71,6,Funny_Bug_0,1.369945454761616,dumb_model,1,Scenario1,dumb_simulation,4,2019-09-30T19:36
72,4,Funny_Bug_1,0.7899385433388226,dumb_model,1,Scenario1,dumb_simulation,4,2019-09-30T19:36
73,4,Funny_Bug_2,1.1004172189501702,dumb_model,1,Scenario1,dumb_simulation,4,2019-09-30T19:36
74,2,Funny_Bug_3,0.8590859604036446,dumb_model,1,Scenario1,dumb_simulation,4,2019-09-30T19:36
75,4,Funny_Bug_4,1.1022236580438658,dumb_model,1,Scenario1,dumb_simulation,4,2019-09-30T19:36
76,6,Funny_Bug_0,1.369945454761616,dumb_model,1,Scenario1,dumb_simulation,5,2019-09-30T19:36
77,4,Funny_Bug_1,0.7899385433388226,dumb_model,1,Scenario1,dumb_simulation,5,2019-09-30T19:36
78,4,Funny_Bug_2,1.1004172189501702,dumb_model,1,Scenario1,dumb_simulation,5,2019-09-30T19:36
79,2,Funny_Bug_3,0.8590859604036446,dumb_model,1,Scenario1,dumb_simulation,5,2019-09-30T19:36
80,4,Funny_Bug_4,1.1022236580438658,dumb_model,1,Scenario1,dumb_simulation,5,2019-09-30T19:36
81,6,Funny_Bug_0,1.369945454761616,dumb_model,1,Scenario1,dumb_simulation,6,2019-09-30T19:36
82,4,Funny_Bug_1,0.7899385433388226,dumb_model,1,Scenario1,dumb_simulation,6,2019-09-30T19:36
83,4,Funny_Bug_2,1.1004172189501702,dumb_model,1,Scenario1,dumb_simulation,6,2019-09-30T19:36
84,2,Funny_Bug_3,0.8590859604036446,dumb_model,1,Scenario1,dumb_simulation,6,2019-09-30T19:36
85,4,Funny_Bug_4,1.1022236580438658,dumb_model,1,Scenario1,dumb_simulation,6,2019-09-30T19:36
86,6,Funny_Bug_0,1.369945454761616,dumb_model,1,Scenario1,dumb_simulation,7,2019-09-30T19:36
87,4,Funny_Bug_1,0.7899385433388226,dumb_model,1,Scenario1,dumb_simulation,7,2019-09-30T19:36
88,4,Funny_Bug_2,1.1004172189501702,dumb_model,1,Scenario1,dumb_simulation,7,2019-09-30T19:36
89,2,Funny_Bug_3,0.8590859604036446,dumb_model,1,Scenario1,dumb_simulation,7,2019-09-30T19:36
90,4,Funny_Bug_4,1.1022236580438658,dumb_model,1,Scenario1,dumb_simulation,7,2019-09-30T19:36
91,6,Funny_Bug_0,1.369945454761616,dumb_model,1,Scenario1,dumb_simulation,8,2019-09-30T19:36
92,4,Funny_Bug_1,0.7899385433388226,dumb_model,1,Scenario1,dumb_simulation,8,2019-09-30T19:36
93,4,Funny_Bug_2,1.1004172189501702,dumb_model,1,Scenario1,dumb_simulation,8,2019-09-30T19:36
94,2,Funny_Bug_3,0.8590859604036446,dumb_model,1,Scenario1,dumb_simulation,8,2019-09-30T19:36
95,4,Funny_Bug_4,1.1022236580438658,dumb_model,1,Scenario1,dumb_simulation,8,2019-09-30T19:36
96,6,Funny_Bug_0,1.369945454761616,dumb_model,1,Scenario1,dumb_simulation,9,2019-09-30T19:36
