index_no,model,simulation,scenario,run,step,time,agent_name,labor_demand,offered_wage
0,macro_Caiani,macro_Caiani, ,0,0,2020-01-13T14:37, ,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:37,CG_0,198.50488069103625,1.20080002615124
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:37,CG_1,201.0582237326417,1.2607054437051173
3,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:37,CG_0,198.50488069103625,1.20080002615124
4,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:37,CG_1,201.0582237326417,1.2607054437051173
5,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:37,CG_0,198.50488069103625,1.20080002615124
6,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:37,CG_1,201.0582237326417,1.2607054437051173
7,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:37,CG_0,198.50488069103625,1.20080002615124
8,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:37,CG_1,201.0582237326417,1.2607054437051173
9,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:37,CG_0,198.50488069103625,1.20080002615124
10,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:37,CG_1,201.0582237326417,1.2607054437051173
11,macro_Caiani,macro_Caiani,Scenario1,1,0,2020-01-13T14:37,CG_0,198.50488069103625,1.20080002615124
12,macro_Caiani,macro_Caiani,Scenario1,1,0,2020-01-13T14:37,CG_1,201.0582237326417,1.2607054437051173
13,macro_Caiani,macro_Caiani,Scenario1,1,1,2020-01-13T14:37,CG_0,198.50488069103625,1.20080002615124
14,macro_Caiani,macro_Caiani,Scenario1,1,1,2020-01-13T14:37,CG_1,201.0582237326417,1.2607054437051173
15,macro_Caiani,macro_Caiani,Scenario1,1,2,2020-01-13T14:37,CG_0,198.50488069103625,1.20080002615124
16,macro_Caiani,macro_Caiani,Scenario1,1,2,2020-01-13T14:37,CG_1,201.0582237326417,1.2607054437051173
17,macro_Caiani,macro_Caiani,Scenario1,1,3,2020-01-13T14:37,CG_0,198.50488069103625,1.20080002615124
18,macro_Caiani,macro_Caiani,Scenario1,1,3,2020-01-13T14:37,CG_1,201.0582237326417,1.2607054437051173
19,macro_Caiani,macro_Caiani,Scenario1,1,4,2020-01-13T14:37,CG_0,198.50488069103625,1.20080002615124
20,macro_Caiani,macro_Caiani,Scenario1,1,4,2020-01-13T14:37,CG_1,201.0582237326417,1.2607054437051173
21,macro_Caiani,macro_Caiani,Scenario2,0,0,2020-01-13T14:37,CG_0,12.03986994433355,1.416830273077067
22,macro_Caiani,macro_Caiani,Scenario2,0,0,2020-01-13T14:37,CG_1,11.346668635369864,1.0928147129665422
23,macro_Caiani,macro_Caiani,Scenario2,0,1,2020-01-13T14:37,CG_0,12.03986994433355,1.416830273077067
24,macro_Caiani,macro_Caiani,Scenario2,0,1,2020-01-13T14:37,CG_1,11.346668635369864,1.0928147129665422
25,macro_Caiani,macro_Caiani,Scenario2,0,2,2020-01-13T14:37,CG_0,12.03986994433355,1.416830273077067
26,macro_Caiani,macro_Caiani,Scenario2,0,2,2020-01-13T14:37,CG_1,11.346668635369864,1.0928147129665422
27,macro_Caiani,macro_Caiani,Scenario2,0,3,2020-01-13T14:37,CG_0,12.03986994433355,1.416830273077067
28,macro_Caiani,macro_Caiani,Scenario2,0,3,2020-01-13T14:37,CG_1,11.346668635369864,1.0928147129665422
29,macro_Caiani,macro_Caiani,Scenario2,0,4,2020-01-13T14:37,CG_0,12.03986994433355,1.416830273077067
30,macro_Caiani,macro_Caiani,Scenario2,0,4,2020-01-13T14:37,CG_1,11.346668635369864,1.0928147129665422
31,macro_Caiani,macro_Caiani,Scenario2,1,0,2020-01-13T14:37,CG_0,12.03986994433355,1.416830273077067
32,macro_Caiani,macro_Caiani,Scenario2,1,0,2020-01-13T14:37,CG_1,11.346668635369864,1.0928147129665422
33,macro_Caiani,macro_Caiani,Scenario2,1,1,2020-01-13T14:37,CG_0,12.03986994433355,1.416830273077067
34,macro_Caiani,macro_Caiani,Scenario2,1,1,2020-01-13T14:37,CG_1,11.346668635369864,1.0928147129665422
35,macro_Caiani,macro_Caiani,Scenario2,1,2,2020-01-13T14:37,CG_0,12.03986994433355,1.416830273077067
36,macro_Caiani,macro_Caiani,Scenario2,1,2,2020-01-13T14:37,CG_1,11.346668635369864,1.0928147129665422
37,macro_Caiani,macro_Caiani,Scenario2,1,3,2020-01-13T14:37,CG_0,12.03986994433355,1.416830273077067
38,macro_Caiani,macro_Caiani,Scenario2,1,3,2020-01-13T14:37,CG_1,11.346668635369864,1.0928147129665422
39,macro_Caiani,macro_Caiani,Scenario2,1,4,2020-01-13T14:37,CG_0,12.03986994433355,1.416830273077067
40,macro_Caiani,macro_Caiani,Scenario2,1,4,2020-01-13T14:37,CG_1,11.346668635369864,1.0928147129665422
