index_no,model,simulation,scenario,run,step,time,agent_name,labor_demand,offered_wage
0,macro_Caiani,macro_Caiani, ,0,0,2020-01-13T13:47, ,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T13:47,CG_0,8.772244421530619,1.1573704260040991
2,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T13:47,CG_0,8.772244421530619,1.1573704260040991
3,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T13:47,CG_0,8.772244421530619,1.1573704260040991
4,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T13:47,CG_0,8.772244421530619,1.1573704260040991
5,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T13:47,CG_0,8.772244421530619,1.1573704260040991
6,macro_Caiani,macro_Caiani,Scenario1,1,0,2020-01-13T13:47,CG_0,8.772244421530619,1.1573704260040991
7,macro_Caiani,macro_Caiani,Scenario1,1,1,2020-01-13T13:47,CG_0,8.772244421530619,1.1573704260040991
8,macro_Caiani,macro_Caiani,Scenario1,1,2,2020-01-13T13:47,CG_0,8.772244421530619,1.1573704260040991
9,macro_Caiani,macro_Caiani,Scenario1,1,3,2020-01-13T13:47,CG_0,8.772244421530619,1.1573704260040991
10,macro_Caiani,macro_Caiani,Scenario1,1,4,2020-01-13T13:47,CG_0,8.772244421530619,1.1573704260040991
11,macro_Caiani,macro_Caiani,Scenario2,0,0,2020-01-13T13:47,CG_0,8.979725045505702,0.8643956729571696
12,macro_Caiani,macro_Caiani,Scenario2,0,1,2020-01-13T13:47,CG_0,8.979725045505702,0.8643956729571696
13,macro_Caiani,macro_Caiani,Scenario2,0,2,2020-01-13T13:47,CG_0,8.979725045505702,0.8643956729571696
14,macro_Caiani,macro_Caiani,Scenario2,0,3,2020-01-13T13:47,CG_0,8.979725045505702,0.8643956729571696
15,macro_Caiani,macro_Caiani,Scenario2,0,4,2020-01-13T13:47,CG_0,8.979725045505702,0.8643956729571696
16,macro_Caiani,macro_Caiani,Scenario2,1,0,2020-01-13T13:47,CG_0,8.979725045505702,0.8643956729571696
17,macro_Caiani,macro_Caiani,Scenario2,1,1,2020-01-13T13:47,CG_0,8.979725045505702,0.8643956729571696
18,macro_Caiani,macro_Caiani,Scenario2,1,2,2020-01-13T13:47,CG_0,8.979725045505702,0.8643956729571696
19,macro_Caiani,macro_Caiani,Scenario2,1,3,2020-01-13T13:47,CG_0,8.979725045505702,0.8643956729571696
20,macro_Caiani,macro_Caiani,Scenario2,1,4,2020-01-13T13:47,CG_0,8.979725045505702,0.8643956729571696
