index_no,model,simulation,scenario,run,step,time,agent_name,expected_wage,labor_capacity
0,macro_Caiani,macro_Caiani, ,0,0,2020-01-20T11:12, ,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_0,0.6827807345736533,2.185930029562192
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_1,0.9800574221223797,2.102735054896622
3,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_2,1.233769246421529,1.9435936828258158
4,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_3,0.7853014956338688,2.2277222104844534
5,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_4,1.1309137373461398,1.9781969418717569
6,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_5,0.6982763262427314,1.8341660725793745
7,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_6,1.245076412134365,1.633619365782592
8,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_7,1.0063235785008837,2.258182705345325
9,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_8,0.9115292125414309,1.8998224428926942
10,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_9,1.0691802474572951,2.004186269182496
11,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_10,1.0178876760814661,2.0441917851538247
12,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_11,1.222298071049974,1.81432242790836
13,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_12,0.9938546892349202,1.9174855771953707
14,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_13,1.4311017810149271,1.915471208189841
15,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_14,1.0765310862985,1.6824857437984195
16,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_15,0.9690337083961907,2.060094160252864
17,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_16,0.9187241782693305,2.1394111483530738
18,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_17,1.0041492203259403,2.096151114326975
19,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_18,1.0768927784888267,1.7705016062885996
20,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_19,0.8653872973222667,1.8597060536219592
21,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_20,1.207442539540196,1.527261078516429
22,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_21,1.246568793973946,2.0410907607783777
23,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_22,1.149326010419133,2.662167724353807
24,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_23,0.7532435361321361,2.149062809691926
25,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_24,0.6736239906263224,2.5638956762493814
26,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_25,0.5893300430453315,1.692636168847078
27,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_26,1.3273192769984425,2.043412969562548
28,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_27,1.3153638773216987,2.0344393715710876
29,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_28,1.2852528762614062,1.7137144635119035
30,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_29,1.0985047119445928,2.1587814513173957
31,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_30,1.1856369885342888,1.7873170391927107
32,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_31,1.2180583009861183,1.891462974629611
33,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_32,0.6980770041842574,1.788003660825812
34,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_33,1.3263601148043958,2.153050155281567
35,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_34,1.0447100392108606,1.7198540748557152
36,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_35,1.24064731339365,2.3309787441283074
37,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_36,1.2618309400358365,2.0657405861015645
38,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_37,1.1720312383095761,2.218189255065433
39,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_38,0.9441868047610003,1.7033706618097442
40,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_39,0.9624349412255885,2.0474447937859295
41,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_40,0.7232416997254013,1.8935770988946925
42,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_41,0.9678339325697589,2.004842816045481
43,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_42,1.0170695833899768,2.0580894232150424
44,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_43,0.9656297559232236,2.1288511327439124
45,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_44,0.7429715724161785,1.9995397170663225
46,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_45,1.4333330196641774,2.0652815769022497
47,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_46,1.1361160385390325,2.1077972295028253
48,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_47,0.8776510311480944,2.0031877601198596
49,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_48,1.095691700052102,2.0916094976949573
50,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_49,1.3875665274257283,1.9077068146435638
51,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_50,0.9925200303623845,1.9467784560720727
52,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_51,0.8862994963238123,2.3669452190007965
53,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_52,0.9520406106566783,2.3262199907345593
54,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_53,1.5101813419567272,1.7559744860288276
55,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_54,1.238766805507558,1.8238255680333872
56,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_55,0.6833283994449054,1.8484018133356337
57,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_56,0.9657407292879158,2.2165826321242905
58,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_57,1.0475814954749567,1.8350494600856946
59,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_58,1.0302462825122207,1.95292268722516
60,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_59,0.9761025902489,1.6748312444426134
61,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_60,0.9136504129111876,2.0859073311847576
62,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_61,0.9474828541051433,1.9206756964591085
63,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_62,0.8339391141160725,2.1117845943468945
64,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_63,1.0027265035428579,2.138435477110369
65,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_64,0.8313895858401551,1.5151120734911314
66,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_65,0.6666610155772912,1.7867133419733472
67,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_66,0.8854455039382841,1.9002935902560358
68,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_67,0.7984823946430742,2.3058294820932295
69,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_68,1.1882028705019527,1.971724821716156
70,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_69,1.0608310802116312,2.1977725961612014
71,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_70,1.199166284947475,1.8660920434161272
72,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_71,1.3331749371777977,2.109586718242579
73,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_72,1.2316879474615796,1.9837637504107946
74,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_73,0.8690168300562098,1.926464578508188
75,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_74,1.4151094795820984,2.0603293654726094
76,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_75,1.0939548527681473,1.9346417743671058
77,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_76,1.0048243002852535,1.9396543571837275
78,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_77,1.2468730064413431,2.099049318374728
79,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_78,0.9629042631321771,1.8050698003857915
80,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_79,1.184711872259597,2.1473028440290896
81,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_80,1.1740583263177382,2.048645843604114
82,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_81,0.6450245564667754,2.019432179098068
83,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_82,0.8933564150875852,2.2545699055668713
84,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_83,1.2597726516391068,2.071278735847249
85,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_84,1.061020112264289,2.005693525674567
86,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_85,1.1791007900242092,1.9256846735943132
87,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_86,0.9344044101627977,1.9747975457560258
88,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_87,0.938573480455824,1.8691813621943483
89,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:12,HH_88,0.9590871872370401,2.1066135406376842
