index_no,model,simulation,scenario,run,step,time,agent_name,ammount
0,macro_Caiani,macro_Caiani, ,0,0,2020-04-10T16:06, ,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,Ba_0,29.97891683510155
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-04-10T16:06,Ba_1,31.126632252080817
3,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-04-10T16:06,Ba_0,29.97891683510155
4,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-04-10T16:06,Ba_1,31.126632252080817
5,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-04-10T16:06,Ba_0,29.97891683510155
6,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-04-10T16:06,Ba_1,31.126632252080817
7,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-04-10T16:06,Ba_0,29.97891683510155
8,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-04-10T16:06,Ba_1,31.126632252080817
9,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-04-10T16:06,Ba_0,29.97891683510155
10,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-04-10T16:06,Ba_1,31.126632252080817
11,macro_Caiani,macro_Caiani,Scenario1,0,5,2020-04-10T16:06,Ba_0,29.97891683510155
12,macro_Caiani,macro_Caiani,Scenario1,0,5,2020-04-10T16:06,Ba_1,31.126632252080817
13,macro_Caiani,macro_Caiani,Scenario1,0,6,2020-04-10T16:06,Ba_0,29.97891683510155
14,macro_Caiani,macro_Caiani,Scenario1,0,6,2020-04-10T16:06,Ba_1,31.126632252080817
15,macro_Caiani,macro_Caiani,Scenario1,0,7,2020-04-10T16:06,Ba_0,29.97891683510155
16,macro_Caiani,macro_Caiani,Scenario1,0,7,2020-04-10T16:06,Ba_1,31.126632252080817
17,macro_Caiani,macro_Caiani,Scenario1,0,8,2020-04-10T16:06,Ba_0,29.97891683510155
18,macro_Caiani,macro_Caiani,Scenario1,0,8,2020-04-10T16:06,Ba_1,31.126632252080817
19,macro_Caiani,macro_Caiani,Scenario1,0,9,2020-04-10T16:06,Ba_0,29.97891683510155
20,macro_Caiani,macro_Caiani,Scenario1,0,9,2020-04-10T16:06,Ba_1,31.126632252080817
21,macro_Caiani,macro_Caiani,Scenario1,0,10,2020-04-10T16:06,Ba_0,29.97891683510155
22,macro_Caiani,macro_Caiani,Scenario1,0,10,2020-04-10T16:06,Ba_1,31.126632252080817
23,macro_Caiani,macro_Caiani,Scenario1,0,11,2020-04-10T16:06,Ba_0,29.97891683510155
