index_no,model,simulation,scenario,run,step,time,agent_name,expected_wage,labor_capacity
0,macro_Caiani,macro_Caiani, ,0,0,2020-01-13T16:22, ,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_0,0.9573340558563271,1.7135958403997664
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_1,1.0972286373067304,1.832541853803469
3,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_2,1.0641004956352114,2.1394494472626153
4,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_3,1.3215539764806912,2.0735823826240605
5,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_4,1.1606590779186354,2.1927452256752553
6,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_5,1.181585095292682,2.2099704317557607
7,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_6,0.6079355369860211,2.1225490521272055
8,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_7,0.8126128226895908,2.00231179107536
9,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_8,1.1417637987707954,2.2106824062847497
10,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_9,1.1747927646466916,2.019095690883857
11,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_10,0.8534904622919945,1.9715228985342301
12,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_11,0.8516841427320041,1.6141936276186657
13,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_12,1.0802839035772853,2.493183133390251
14,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_13,0.9403855876165128,1.8875372326768816
15,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_14,1.2048983773837407,1.7287057617557589
16,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_15,0.8339191852957759,2.1679695988105876
17,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_16,1.1711624724335348,1.8202531148964671
18,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_17,1.009262180442183,1.7053002177643741
19,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_18,1.16078047941568,1.6297166889955594
20,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_19,0.9826067712256208,1.9323739589888573
21,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_20,0.9261477590489097,1.82008498774703
22,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_21,1.1008335068343866,1.6079747392045538
23,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_22,1.0124940245974507,1.5689296737776122
24,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_23,1.2236675835365718,2.178591566140867
25,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_24,0.8364671405027202,2.2317471545158116
26,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_25,0.8711135864322841,1.8671774362010667
27,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_26,1.1514865824201128,1.8842606571886236
28,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T16:22,HH_27,1.1392001404794736,1.9331002175036358
