index_no,model,simulation,scenario,run,step,time,agent_name,ammount
0,macro_Caiani,macro_Caiani, ,0,0,2020-02-07T14:50, ,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-02-07T14:50,Gov_0,30.37412027316442
2,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-02-07T14:50,Gov_0,30.37412027316442
3,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-02-07T14:50,Gov_0,30.37412027316442
4,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-02-07T14:50,Gov_0,30.37412027316442
5,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-02-07T14:50,Gov_0,30.37412027316442
6,macro_Caiani,macro_Caiani,Scenario1,0,5,2020-02-07T14:50,Gov_0,30.37412027316442
7,macro_Caiani,macro_Caiani,Scenario1,0,6,2020-02-07T14:50,Gov_0,30.37412027316442
8,macro_Caiani,macro_Caiani,Scenario1,0,7,2020-02-07T14:50,Gov_0,30.37412027316442
9,macro_Caiani,macro_Caiani,Scenario1,0,8,2020-02-07T14:50,Gov_0,30.37412027316442
10,macro_Caiani,macro_Caiani,Scenario1,0,9,2020-02-07T14:50,Gov_0,30.37412027316442
11,macro_Caiani,macro_Caiani,Scenario1,0,10,2020-02-07T14:50,Gov_0,30.37412027316442
12,macro_Caiani,macro_Caiani,Scenario1,0,11,2020-02-07T14:50,Gov_0,30.37412027316442
13,macro_Caiani,macro_Caiani,Scenario1,0,12,2020-02-07T14:50,Gov_0,30.37412027316442
14,macro_Caiani,macro_Caiani,Scenario1,0,13,2020-02-07T14:50,Gov_0,30.37412027316442
15,macro_Caiani,macro_Caiani,Scenario1,0,14,2020-02-07T14:50,Gov_0,30.37412027316442
16,macro_Caiani,macro_Caiani,Scenario1,0,15,2020-02-07T14:50,Gov_0,30.37412027316442
17,macro_Caiani,macro_Caiani,Scenario1,0,16,2020-02-07T14:50,Gov_0,30.37412027316442
18,macro_Caiani,macro_Caiani,Scenario1,0,17,2020-02-07T14:50,Gov_0,30.37412027316442
19,macro_Caiani,macro_Caiani,Scenario1,0,18,2020-02-07T14:50,Gov_0,30.37412027316442
20,macro_Caiani,macro_Caiani,Scenario1,0,19,2020-02-07T14:50,Gov_0,30.37412027316442
21,macro_Caiani,macro_Caiani,Scenario1,0,20,2020-02-07T14:50,Gov_0,30.37412027316442
