index_no,model,simulation,scenario,run,step,time,agent_name,labor_demand,offered_wage
0,macro_Caiani,macro_Caiani, ,0,0,2020-01-13T14:59, ,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:59,CG_0,52.09475673077508,0.8243790502987748
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:59,CG_1,49.71145844139783,1.0285850083904835
3,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:59,CG_0,52.09475673077508,0.8243790502987748
4,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:59,CG_1,49.71145844139783,1.0285850083904835
5,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:59,CG_0,52.09475673077508,0.8243790502987748
6,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:59,CG_1,49.71145844139783,1.0285850083904835
7,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:59,CG_0,52.09475673077508,0.8243790502987748
8,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:59,CG_1,49.71145844139783,1.0285850083904835
9,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:59,CG_0,52.09475673077508,0.8243790502987748
10,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:59,CG_1,49.71145844139783,1.0285850083904835
11,macro_Caiani,macro_Caiani,Scenario1,1,0,2020-01-13T14:59,CG_0,52.09475673077508,0.8243790502987748
12,macro_Caiani,macro_Caiani,Scenario1,1,0,2020-01-13T14:59,CG_1,49.71145844139783,1.0285850083904835
13,macro_Caiani,macro_Caiani,Scenario1,1,1,2020-01-13T14:59,CG_0,52.09475673077508,0.8243790502987748
14,macro_Caiani,macro_Caiani,Scenario1,1,1,2020-01-13T14:59,CG_1,49.71145844139783,1.0285850083904835
15,macro_Caiani,macro_Caiani,Scenario1,1,2,2020-01-13T14:59,CG_0,52.09475673077508,0.8243790502987748
16,macro_Caiani,macro_Caiani,Scenario1,1,2,2020-01-13T14:59,CG_1,49.71145844139783,1.0285850083904835
17,macro_Caiani,macro_Caiani,Scenario1,1,3,2020-01-13T14:59,CG_0,52.09475673077508,0.8243790502987748
18,macro_Caiani,macro_Caiani,Scenario1,1,3,2020-01-13T14:59,CG_1,49.71145844139783,1.0285850083904835
19,macro_Caiani,macro_Caiani,Scenario1,1,4,2020-01-13T14:59,CG_0,52.09475673077508,0.8243790502987748
20,macro_Caiani,macro_Caiani,Scenario1,1,4,2020-01-13T14:59,CG_1,49.71145844139783,1.0285850083904835
