index_no,model,simulation,scenario,run,step,time,agent_name,heat_rate,agent_happiness
0,macro_Caiani,macro_Caiani, ,0,0,2019-12-18T15:13, ,0.0,0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:13,KG_0,0.8340574500100977,5
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:13,KG_1,1.2042656019806879,4
3,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:13,KG_2,1.2975161009537894,8
4,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:13,KG_0,0.8340574500100977,5
5,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:13,KG_1,1.2042656019806879,4
6,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:13,KG_2,1.2975161009537894,8
7,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:13,KG_0,0.8340574500100977,5
8,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:13,KG_1,1.2042656019806879,4
9,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:13,KG_2,1.2975161009537894,8
10,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:13,KG_0,0.8340574500100977,5
11,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:13,KG_1,1.2042656019806879,4
12,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:13,KG_2,1.2975161009537894,8
13,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:13,KG_0,0.8340574500100977,5
14,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:13,KG_1,1.2042656019806879,4
15,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:13,KG_2,1.2975161009537894,8
16,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:13,KG_0,0.8340574500100977,5
17,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:13,KG_1,1.2042656019806879,4
18,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:13,KG_2,1.2975161009537894,8
19,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:13,KG_0,0.8340574500100977,5
20,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:13,KG_1,1.2042656019806879,4
21,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:13,KG_2,1.2975161009537894,8
22,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:13,KG_0,0.8340574500100977,5
23,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:13,KG_1,1.2042656019806879,4
24,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:13,KG_2,1.2975161009537894,8
25,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:13,KG_0,0.8340574500100977,5
26,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:13,KG_1,1.2042656019806879,4
27,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:13,KG_2,1.2975161009537894,8
28,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:13,KG_0,0.8340574500100977,5
29,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:13,KG_1,1.2042656019806879,4
30,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:13,KG_2,1.2975161009537894,8
