index_no,model,simulation,scenario,run,step,time,agent_name,ammount
0,macro_Caiani,macro_Caiani, ,0,0,2020-01-31T15:23, ,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-31T15:23,Ba_0,29.85321294277257
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-31T15:23,Ba_1,28.4568801969969
3,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-31T15:23,Ba_0,29.85321294277257
4,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-31T15:23,Ba_1,28.4568801969969
5,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-31T15:23,Ba_0,29.85321294277257
6,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-31T15:23,Ba_1,28.4568801969969
7,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-31T15:23,Ba_0,29.85321294277257
8,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-31T15:23,Ba_1,28.4568801969969
9,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-31T15:23,Ba_0,29.85321294277257
10,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-31T15:23,Ba_1,28.4568801969969
11,macro_Caiani,macro_Caiani,Scenario1,0,5,2020-01-31T15:23,Ba_0,29.85321294277257
12,macro_Caiani,macro_Caiani,Scenario1,0,5,2020-01-31T15:23,Ba_1,28.4568801969969
13,macro_Caiani,macro_Caiani,Scenario1,0,6,2020-01-31T15:23,Ba_0,29.85321294277257
14,macro_Caiani,macro_Caiani,Scenario1,0,6,2020-01-31T15:23,Ba_1,28.4568801969969
15,macro_Caiani,macro_Caiani,Scenario1,0,7,2020-01-31T15:23,Ba_0,29.85321294277257
16,macro_Caiani,macro_Caiani,Scenario1,0,7,2020-01-31T15:23,Ba_1,28.4568801969969
17,macro_Caiani,macro_Caiani,Scenario1,0,8,2020-01-31T15:23,Ba_0,29.85321294277257
18,macro_Caiani,macro_Caiani,Scenario1,0,8,2020-01-31T15:23,Ba_1,28.4568801969969
19,macro_Caiani,macro_Caiani,Scenario1,0,9,2020-01-31T15:23,Ba_0,29.85321294277257
20,macro_Caiani,macro_Caiani,Scenario1,0,9,2020-01-31T15:23,Ba_1,28.4568801969969
21,macro_Caiani,macro_Caiani,Scenario1,0,10,2020-01-31T15:23,Ba_0,29.85321294277257
22,macro_Caiani,macro_Caiani,Scenario1,0,10,2020-01-31T15:23,Ba_1,28.4568801969969
23,macro_Caiani,macro_Caiani,Scenario1,0,11,2020-01-31T15:23,Ba_0,29.85321294277257
24,macro_Caiani,macro_Caiani,Scenario1,0,11,2020-01-31T15:23,Ba_1,28.4568801969969
25,macro_Caiani,macro_Caiani,Scenario1,0,12,2020-01-31T15:23,Ba_0,29.85321294277257
26,macro_Caiani,macro_Caiani,Scenario1,0,12,2020-01-31T15:23,Ba_1,28.4568801969969
27,macro_Caiani,macro_Caiani,Scenario1,0,13,2020-01-31T15:23,Ba_0,29.85321294277257
28,macro_Caiani,macro_Caiani,Scenario1,0,13,2020-01-31T15:23,Ba_1,28.4568801969969
29,macro_Caiani,macro_Caiani,Scenario1,0,14,2020-01-31T15:23,Ba_0,29.85321294277257
30,macro_Caiani,macro_Caiani,Scenario1,0,14,2020-01-31T15:23,Ba_1,28.4568801969969
31,macro_Caiani,macro_Caiani,Scenario1,0,15,2020-01-31T15:23,Ba_0,29.85321294277257
32,macro_Caiani,macro_Caiani,Scenario1,0,15,2020-01-31T15:23,Ba_1,28.4568801969969
33,macro_Caiani,macro_Caiani,Scenario1,0,16,2020-01-31T15:23,Ba_0,29.85321294277257
34,macro_Caiani,macro_Caiani,Scenario1,0,16,2020-01-31T15:23,Ba_1,28.4568801969969
35,macro_Caiani,macro_Caiani,Scenario1,0,17,2020-01-31T15:23,Ba_0,29.85321294277257
36,macro_Caiani,macro_Caiani,Scenario1,0,17,2020-01-31T15:23,Ba_1,28.4568801969969
37,macro_Caiani,macro_Caiani,Scenario1,0,18,2020-01-31T15:23,Ba_0,29.85321294277257
38,macro_Caiani,macro_Caiani,Scenario1,0,18,2020-01-31T15:23,Ba_1,28.4568801969969
39,macro_Caiani,macro_Caiani,Scenario1,0,19,2020-01-31T15:23,Ba_0,29.85321294277257
40,macro_Caiani,macro_Caiani,Scenario1,0,19,2020-01-31T15:23,Ba_1,28.4568801969969
41,macro_Caiani,macro_Caiani,Scenario1,0,20,2020-01-31T15:23,Ba_0,29.85321294277257
42,macro_Caiani,macro_Caiani,Scenario1,0,20,2020-01-31T15:23,Ba_1,28.4568801969969
43,macro_Caiani,macro_Caiani,Scenario1,0,21,2020-01-31T15:23,Ba_0,29.85321294277257
44,macro_Caiani,macro_Caiani,Scenario1,0,21,2020-01-31T15:23,Ba_1,28.4568801969969
45,macro_Caiani,macro_Caiani,Scenario1,0,22,2020-01-31T15:23,Ba_0,29.85321294277257
46,macro_Caiani,macro_Caiani,Scenario1,0,22,2020-01-31T15:23,Ba_1,28.4568801969969
47,macro_Caiani,macro_Caiani,Scenario1,0,23,2020-01-31T15:23,Ba_0,29.85321294277257
48,macro_Caiani,macro_Caiani,Scenario1,0,23,2020-01-31T15:23,Ba_1,28.4568801969969
49,macro_Caiani,macro_Caiani,Scenario1,0,24,2020-01-31T15:23,Ba_0,29.85321294277257
50,macro_Caiani,macro_Caiani,Scenario1,0,24,2020-01-31T15:23,Ba_1,28.4568801969969
51,macro_Caiani,macro_Caiani,Scenario1,0,25,2020-01-31T15:23,Ba_0,29.85321294277257
52,macro_Caiani,macro_Caiani,Scenario1,0,25,2020-01-31T15:23,Ba_1,28.4568801969969
53,macro_Caiani,macro_Caiani,Scenario1,0,26,2020-01-31T15:23,Ba_0,29.85321294277257
54,macro_Caiani,macro_Caiani,Scenario1,0,26,2020-01-31T15:23,Ba_1,28.4568801969969
55,macro_Caiani,macro_Caiani,Scenario1,0,27,2020-01-31T15:23,Ba_0,29.85321294277257
56,macro_Caiani,macro_Caiani,Scenario1,0,27,2020-01-31T15:23,Ba_1,28.4568801969969
57,macro_Caiani,macro_Caiani,Scenario1,0,28,2020-01-31T15:23,Ba_0,29.85321294277257
58,macro_Caiani,macro_Caiani,Scenario1,0,28,2020-01-31T15:23,Ba_1,28.4568801969969
59,macro_Caiani,macro_Caiani,Scenario1,0,29,2020-01-31T15:23,Ba_0,29.85321294277257
