index_no,model,simulation,scenario,run,step,time,agent_name,labor_demand,offered_wage
0,macro_Caiani,macro_Caiani, ,0,0,2020-01-13T10:52, ,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T10:52,CG_0,9.805047513206047,0.7555662287953013
2,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T10:52,CG_0,9.805047513206047,0.7555662287953013
3,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T10:52,CG_0,9.805047513206047,0.7555662287953013
4,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T10:52,CG_0,9.805047513206047,0.7555662287953013
5,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T10:52,CG_0,9.805047513206047,0.7555662287953013
6,macro_Caiani,macro_Caiani,Scenario1,1,0,2020-01-13T10:52,CG_0,9.805047513206047,0.7555662287953013
7,macro_Caiani,macro_Caiani,Scenario1,1,1,2020-01-13T10:52,CG_0,9.805047513206047,0.7555662287953013
8,macro_Caiani,macro_Caiani,Scenario1,1,2,2020-01-13T10:52,CG_0,9.805047513206047,0.7555662287953013
9,macro_Caiani,macro_Caiani,Scenario1,1,3,2020-01-13T10:52,CG_0,9.805047513206047,0.7555662287953013
10,macro_Caiani,macro_Caiani,Scenario1,1,4,2020-01-13T10:52,CG_0,9.805047513206047,0.7555662287953013
11,macro_Caiani,macro_Caiani,Scenario2,0,0,2020-01-13T10:52,CG_0,9.333925977079977,0.871306175658495
12,macro_Caiani,macro_Caiani,Scenario2,0,1,2020-01-13T10:52,CG_0,9.333925977079977,0.871306175658495
13,macro_Caiani,macro_Caiani,Scenario2,0,2,2020-01-13T10:52,CG_0,9.333925977079977,0.871306175658495
14,macro_Caiani,macro_Caiani,Scenario2,0,3,2020-01-13T10:52,CG_0,9.333925977079977,0.871306175658495
15,macro_Caiani,macro_Caiani,Scenario2,0,4,2020-01-13T10:52,CG_0,9.333925977079977,0.871306175658495
16,macro_Caiani,macro_Caiani,Scenario2,1,0,2020-01-13T10:52,CG_0,9.333925977079977,0.871306175658495
17,macro_Caiani,macro_Caiani,Scenario2,1,1,2020-01-13T10:52,CG_0,9.333925977079977,0.871306175658495
18,macro_Caiani,macro_Caiani,Scenario2,1,2,2020-01-13T10:52,CG_0,9.333925977079977,0.871306175658495
19,macro_Caiani,macro_Caiani,Scenario2,1,3,2020-01-13T10:52,CG_0,9.333925977079977,0.871306175658495
20,macro_Caiani,macro_Caiani,Scenario2,1,4,2020-01-13T10:52,CG_0,9.333925977079977,0.871306175658495
