index_no,model,simulation,scenario,run,step,time,agent_name,labor_demand,offered_wage
0,macro_Caiani,macro_Caiani, ,0,0,2020-01-20T11:18, ,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
3,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
4,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
5,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
6,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
7,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
8,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
9,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
10,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
11,macro_Caiani,macro_Caiani,Scenario1,0,5,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
12,macro_Caiani,macro_Caiani,Scenario1,0,5,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
13,macro_Caiani,macro_Caiani,Scenario1,0,6,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
14,macro_Caiani,macro_Caiani,Scenario1,0,6,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
15,macro_Caiani,macro_Caiani,Scenario1,0,7,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
16,macro_Caiani,macro_Caiani,Scenario1,0,7,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
17,macro_Caiani,macro_Caiani,Scenario1,0,8,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
18,macro_Caiani,macro_Caiani,Scenario1,0,8,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
19,macro_Caiani,macro_Caiani,Scenario1,0,9,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
20,macro_Caiani,macro_Caiani,Scenario1,0,9,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
21,macro_Caiani,macro_Caiani,Scenario1,0,10,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
22,macro_Caiani,macro_Caiani,Scenario1,0,10,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
23,macro_Caiani,macro_Caiani,Scenario1,0,11,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
24,macro_Caiani,macro_Caiani,Scenario1,0,11,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
25,macro_Caiani,macro_Caiani,Scenario1,0,12,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
26,macro_Caiani,macro_Caiani,Scenario1,0,12,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
27,macro_Caiani,macro_Caiani,Scenario1,0,13,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
28,macro_Caiani,macro_Caiani,Scenario1,0,13,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
29,macro_Caiani,macro_Caiani,Scenario1,0,14,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
30,macro_Caiani,macro_Caiani,Scenario1,0,14,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
31,macro_Caiani,macro_Caiani,Scenario1,0,15,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
32,macro_Caiani,macro_Caiani,Scenario1,0,15,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
33,macro_Caiani,macro_Caiani,Scenario1,0,16,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
34,macro_Caiani,macro_Caiani,Scenario1,0,16,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
35,macro_Caiani,macro_Caiani,Scenario1,0,17,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
36,macro_Caiani,macro_Caiani,Scenario1,0,17,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
37,macro_Caiani,macro_Caiani,Scenario1,0,18,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
38,macro_Caiani,macro_Caiani,Scenario1,0,18,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
39,macro_Caiani,macro_Caiani,Scenario1,0,19,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
40,macro_Caiani,macro_Caiani,Scenario1,0,19,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
41,macro_Caiani,macro_Caiani,Scenario1,0,20,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
42,macro_Caiani,macro_Caiani,Scenario1,0,20,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
43,macro_Caiani,macro_Caiani,Scenario1,0,21,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
44,macro_Caiani,macro_Caiani,Scenario1,0,21,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
45,macro_Caiani,macro_Caiani,Scenario1,0,22,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
46,macro_Caiani,macro_Caiani,Scenario1,0,22,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
47,macro_Caiani,macro_Caiani,Scenario1,0,23,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
48,macro_Caiani,macro_Caiani,Scenario1,0,23,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
49,macro_Caiani,macro_Caiani,Scenario1,0,24,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
50,macro_Caiani,macro_Caiani,Scenario1,0,24,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
51,macro_Caiani,macro_Caiani,Scenario1,0,25,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
52,macro_Caiani,macro_Caiani,Scenario1,0,25,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
53,macro_Caiani,macro_Caiani,Scenario1,0,26,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
54,macro_Caiani,macro_Caiani,Scenario1,0,26,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
55,macro_Caiani,macro_Caiani,Scenario1,0,27,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
56,macro_Caiani,macro_Caiani,Scenario1,0,27,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
57,macro_Caiani,macro_Caiani,Scenario1,0,28,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
58,macro_Caiani,macro_Caiani,Scenario1,0,28,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
59,macro_Caiani,macro_Caiani,Scenario1,0,29,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
60,macro_Caiani,macro_Caiani,Scenario1,0,29,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
61,macro_Caiani,macro_Caiani,Scenario1,0,30,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
62,macro_Caiani,macro_Caiani,Scenario1,0,30,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
63,macro_Caiani,macro_Caiani,Scenario1,0,31,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
64,macro_Caiani,macro_Caiani,Scenario1,0,31,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
65,macro_Caiani,macro_Caiani,Scenario1,0,32,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
66,macro_Caiani,macro_Caiani,Scenario1,0,32,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
67,macro_Caiani,macro_Caiani,Scenario1,0,33,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
68,macro_Caiani,macro_Caiani,Scenario1,0,33,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
69,macro_Caiani,macro_Caiani,Scenario1,0,34,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
70,macro_Caiani,macro_Caiani,Scenario1,0,34,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
71,macro_Caiani,macro_Caiani,Scenario1,0,35,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
72,macro_Caiani,macro_Caiani,Scenario1,0,35,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
73,macro_Caiani,macro_Caiani,Scenario1,0,36,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
74,macro_Caiani,macro_Caiani,Scenario1,0,36,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
75,macro_Caiani,macro_Caiani,Scenario1,0,37,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
76,macro_Caiani,macro_Caiani,Scenario1,0,37,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
77,macro_Caiani,macro_Caiani,Scenario1,0,38,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
78,macro_Caiani,macro_Caiani,Scenario1,0,38,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
79,macro_Caiani,macro_Caiani,Scenario1,0,39,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
80,macro_Caiani,macro_Caiani,Scenario1,0,39,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
81,macro_Caiani,macro_Caiani,Scenario1,0,40,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
82,macro_Caiani,macro_Caiani,Scenario1,0,40,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
83,macro_Caiani,macro_Caiani,Scenario1,0,41,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
84,macro_Caiani,macro_Caiani,Scenario1,0,41,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
85,macro_Caiani,macro_Caiani,Scenario1,0,42,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
86,macro_Caiani,macro_Caiani,Scenario1,0,42,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
87,macro_Caiani,macro_Caiani,Scenario1,0,43,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
88,macro_Caiani,macro_Caiani,Scenario1,0,43,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
89,macro_Caiani,macro_Caiani,Scenario1,0,44,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
90,macro_Caiani,macro_Caiani,Scenario1,0,44,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
91,macro_Caiani,macro_Caiani,Scenario1,0,45,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
92,macro_Caiani,macro_Caiani,Scenario1,0,45,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
93,macro_Caiani,macro_Caiani,Scenario1,0,46,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
94,macro_Caiani,macro_Caiani,Scenario1,0,46,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
95,macro_Caiani,macro_Caiani,Scenario1,0,47,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
96,macro_Caiani,macro_Caiani,Scenario1,0,47,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
97,macro_Caiani,macro_Caiani,Scenario1,0,48,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
98,macro_Caiani,macro_Caiani,Scenario1,0,48,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
99,macro_Caiani,macro_Caiani,Scenario1,0,49,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
100,macro_Caiani,macro_Caiani,Scenario1,0,49,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
101,macro_Caiani,macro_Caiani,Scenario1,0,50,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
102,macro_Caiani,macro_Caiani,Scenario1,0,50,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
103,macro_Caiani,macro_Caiani,Scenario1,0,51,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
104,macro_Caiani,macro_Caiani,Scenario1,0,51,2020-01-20T11:18,CG_1,28.476513194429522,1.140017267726738
105,macro_Caiani,macro_Caiani,Scenario1,0,52,2020-01-20T11:18,CG_0,29.381017566953105,1.0263331382272527
