index_no,model,simulation,scenario,run,step,time,agent_name,expected_wage,labor_capacity
0,macro_Caiani,macro_Caiani, ,0,0,2020-01-13T14:29, ,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:29,HH_0,0.9062648825003923,1.0207693047643276
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:29,HH_1,0.5922902306291177,0.9435863893689491
3,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:29,HH_2,0.8080188638678077,0.8633253455031059
4,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:29,HH_3,0.679031392022177,1.0127964389365884
5,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:29,HH_4,0.9379055002302403,1.3297559642824897
6,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:29,HH_5,1.0060664171968325,0.882619622004785
7,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:29,HH_6,0.9584863014011282,1.3022141526698379
8,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:29,HH_7,1.2883140458638065,1.1055680256544984
9,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:29,HH_8,1.1260646083614008,0.8316752552189124
10,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:29,HH_9,0.8198767988274094,0.8805923892608571
11,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:29,HH_0,0.9062648825003923,1.0207693047643276
12,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:29,HH_1,0.5922902306291177,0.9435863893689491
13,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:29,HH_2,0.8080188638678077,0.8633253455031059
14,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:29,HH_3,0.679031392022177,1.0127964389365884
15,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:29,HH_4,0.9379055002302403,1.3297559642824897
16,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:29,HH_5,1.0060664171968325,0.882619622004785
17,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:29,HH_6,0.9584863014011282,1.3022141526698379
18,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:29,HH_7,1.2883140458638065,1.1055680256544984
19,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:29,HH_8,1.1260646083614008,0.8316752552189124
20,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:29,HH_9,0.8198767988274094,0.8805923892608571
21,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:29,HH_0,0.9062648825003923,1.0207693047643276
22,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:29,HH_1,0.5922902306291177,0.9435863893689491
23,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:29,HH_2,0.8080188638678077,0.8633253455031059
24,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:29,HH_3,0.679031392022177,1.0127964389365884
25,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:29,HH_4,0.9379055002302403,1.3297559642824897
26,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:29,HH_5,1.0060664171968325,0.882619622004785
27,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:29,HH_6,0.9584863014011282,1.3022141526698379
28,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:29,HH_7,1.2883140458638065,1.1055680256544984
29,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:29,HH_8,1.1260646083614008,0.8316752552189124
30,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:29,HH_9,0.8198767988274094,0.8805923892608571
31,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:29,HH_0,0.9062648825003923,1.0207693047643276
32,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:29,HH_1,0.5922902306291177,0.9435863893689491
33,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:29,HH_2,0.8080188638678077,0.8633253455031059
34,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:29,HH_3,0.679031392022177,1.0127964389365884
35,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:29,HH_4,0.9379055002302403,1.3297559642824897
36,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:29,HH_5,1.0060664171968325,0.882619622004785
37,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:29,HH_6,0.9584863014011282,1.3022141526698379
38,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:29,HH_7,1.2883140458638065,1.1055680256544984
39,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:29,HH_8,1.1260646083614008,0.8316752552189124
40,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:29,HH_9,0.8198767988274094,0.8805923892608571
41,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:29,HH_0,0.9062648825003923,1.0207693047643276
42,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:29,HH_1,0.5922902306291177,0.9435863893689491
43,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:29,HH_2,0.8080188638678077,0.8633253455031059
44,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:29,HH_3,0.679031392022177,1.0127964389365884
45,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:29,HH_4,0.9379055002302403,1.3297559642824897
46,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:29,HH_5,1.0060664171968325,0.882619622004785
47,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:29,HH_6,0.9584863014011282,1.3022141526698379
48,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:29,HH_7,1.2883140458638065,1.1055680256544984
49,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:29,HH_8,1.1260646083614008,0.8316752552189124
50,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:29,HH_9,0.8198767988274094,0.8805923892608571
