index_no,model,simulation,scenario,run,step,time,agent_name,heat_rate,agent_happiness
0,macro_Caiani,macro_Caiani, ,0,0,2019-12-18T15:16, ,0.0,0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:16,KG_0,1.2277765359242834,4
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:16,KG_1,0.8077727536073485,4
3,macro_Caiani,macro_Caiani,Scenario1,0,0,2019-12-18T15:16,KG_2,1.344807930264051,6
4,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:16,KG_0,1.2277765359242834,4
5,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:16,KG_1,0.8077727536073485,4
6,macro_Caiani,macro_Caiani,Scenario1,0,1,2019-12-18T15:16,KG_2,1.344807930264051,6
7,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:16,KG_0,1.2277765359242834,4
8,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:16,KG_1,0.8077727536073485,4
9,macro_Caiani,macro_Caiani,Scenario1,0,2,2019-12-18T15:16,KG_2,1.344807930264051,6
10,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:16,KG_0,1.2277765359242834,4
11,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:16,KG_1,0.8077727536073485,4
12,macro_Caiani,macro_Caiani,Scenario1,0,3,2019-12-18T15:16,KG_2,1.344807930264051,6
13,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:16,KG_0,1.2277765359242834,4
14,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:16,KG_1,0.8077727536073485,4
15,macro_Caiani,macro_Caiani,Scenario1,0,4,2019-12-18T15:16,KG_2,1.344807930264051,6
16,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:16,KG_0,1.2277765359242834,4
17,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:16,KG_1,0.8077727536073485,4
18,macro_Caiani,macro_Caiani,Scenario1,1,0,2019-12-18T15:16,KG_2,1.344807930264051,6
19,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:16,KG_0,1.2277765359242834,4
20,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:16,KG_1,0.8077727536073485,4
21,macro_Caiani,macro_Caiani,Scenario1,1,1,2019-12-18T15:16,KG_2,1.344807930264051,6
22,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:16,KG_0,1.2277765359242834,4
23,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:16,KG_1,0.8077727536073485,4
24,macro_Caiani,macro_Caiani,Scenario1,1,2,2019-12-18T15:16,KG_2,1.344807930264051,6
25,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:16,KG_0,1.2277765359242834,4
26,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:16,KG_1,0.8077727536073485,4
27,macro_Caiani,macro_Caiani,Scenario1,1,3,2019-12-18T15:16,KG_2,1.344807930264051,6
28,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:16,KG_0,1.2277765359242834,4
29,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:16,KG_1,0.8077727536073485,4
30,macro_Caiani,macro_Caiani,Scenario1,1,4,2019-12-18T15:16,KG_2,1.344807930264051,6
