index_no,model,simulation,scenario,run,step,time,agent_name,expected_wage,labor_capacity
0,macro_Caiani,macro_Caiani, ,0,0,2020-01-13T15:59, ,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_0,0.6417466283662983,1.9927479796146303
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_1,0.6462578293256203,2.1390235351597537
3,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_2,1.0221193577059666,2.3507761683968935
4,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_3,1.3429636402287686,1.9371911334567515
5,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_4,1.0847070655248674,1.8687301315183582
6,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_5,1.0252884043829957,2.032184093540084
7,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_6,0.778767369128393,2.008326621352903
8,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_7,1.3641648053646427,2.1827870319782035
9,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_8,1.266514253472954,2.186566585760012
10,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_9,0.7621170671710751,2.1980880201552893
11,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_10,0.9906177683191243,2.1951391271097305
12,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_11,1.0170268946149408,2.058064578665408
13,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_12,1.041104498078739,1.8352379811723873
14,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_13,0.6372933000393213,2.0823114951344532
15,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_14,1.1873039609099036,1.9643737800631738
16,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_15,1.0895955925437226,1.7283752054731285
17,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_16,1.1176037032111161,2.076281798773854
18,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_17,0.498247045686962,1.783301875629914
19,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_18,0.8846062284573196,1.9923403137579923
20,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_19,0.7118431209000669,1.969890903732169
21,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_20,1.0224609922817702,1.2916780392626848
22,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_21,1.220008779738918,2.2393242746814743
23,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_22,1.2768662264020019,2.094415653830789
24,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_23,1.0000311307825547,1.8673613533609195
25,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_24,0.9856029979660884,2.1922469084878253
26,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_25,0.861758611011865,2.103317970106823
27,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T15:59,HH_26,0.7880761301335226,2.2856420722869952
