index_no,model,simulation,scenario,run,step,time,agent_name,ammount
22,macro_Caiani,macro_Caiani,Scenario1,0,21,2020-01-31T15:27,Gov_0,29.335230476285783
23,macro_Caiani,macro_Caiani,Scenario1,0,22,2020-01-31T15:27,Gov_0,29.335230476285783
24,macro_Caiani,macro_Caiani,Scenario1,0,23,2020-01-31T15:27,Gov_0,29.335230476285783
25,macro_Caiani,macro_Caiani,Scenario1,0,24,2020-01-31T15:27,Gov_0,29.335230476285783
26,macro_Caiani,macro_Caiani,Scenario1,0,25,2020-01-31T15:27,Gov_0,29.335230476285783
27,macro_Caiani,macro_Caiani,Scenario1,0,26,2020-01-31T15:27,Gov_0,29.335230476285783
28,macro_Caiani,macro_Caiani,Scenario1,0,27,2020-01-31T15:27,Gov_0,29.335230476285783
29,macro_Caiani,macro_Caiani,Scenario1,0,28,2020-01-31T15:27,Gov_0,29.335230476285783
30,macro_Caiani,macro_Caiani,Scenario1,0,29,2020-01-31T15:27,Gov_0,29.335230476285783
31,macro_Caiani,macro_Caiani,Scenario1,0,30,2020-01-31T15:27,Gov_0,29.335230476285783
32,macro_Caiani,macro_Caiani,Scenario1,0,31,2020-01-31T15:27,Gov_0,29.335230476285783
33,macro_Caiani,macro_Caiani,Scenario1,0,32,2020-01-31T15:27,Gov_0,29.335230476285783
34,macro_Caiani,macro_Caiani,Scenario1,0,33,2020-01-31T15:27,Gov_0,29.335230476285783
35,macro_Caiani,macro_Caiani,Scenario1,0,34,2020-01-31T15:27,Gov_0,29.335230476285783
36,macro_Caiani,macro_Caiani,Scenario1,0,35,2020-01-31T15:27,Gov_0,29.335230476285783
37,macro_Caiani,macro_Caiani,Scenario1,0,36,2020-01-31T15:27,Gov_0,29.335230476285783
38,macro_Caiani,macro_Caiani,Scenario1,0,37,2020-01-31T15:27,Gov_0,29.335230476285783
39,macro_Caiani,macro_Caiani,Scenario1,0,38,2020-01-31T15:27,Gov_0,29.335230476285783
40,macro_Caiani,macro_Caiani,Scenario1,0,39,2020-01-31T15:27,Gov_0,29.335230476285783
41,macro_Caiani,macro_Caiani,Scenario1,0,40,2020-01-31T15:27,Gov_0,29.335230476285783
42,macro_Caiani,macro_Caiani,Scenario1,0,41,2020-01-31T15:27,Gov_0,29.335230476285783
43,macro_Caiani,macro_Caiani,Scenario1,0,42,2020-01-31T15:27,Gov_0,29.335230476285783
44,macro_Caiani,macro_Caiani,Scenario1,0,43,2020-01-31T15:27,Gov_0,29.335230476285783
45,macro_Caiani,macro_Caiani,Scenario1,0,44,2020-01-31T15:27,Gov_0,29.335230476285783
46,macro_Caiani,macro_Caiani,Scenario1,0,45,2020-01-31T15:27,Gov_0,29.335230476285783
47,macro_Caiani,macro_Caiani,Scenario1,0,46,2020-01-31T15:27,Gov_0,29.335230476285783
