index_no,model,simulation,scenario,run,step,time,agent_name,expected_wage,labor_capacity
0,macro_Caiani,macro_Caiani, ,0,0,2020-01-13T14:28, ,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:28,HH_0,0.8785144549740184,1.1710317443821798
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:28,HH_1,0.9137206720617225,1.0092707878904088
3,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:28,HH_2,1.1308047235239378,1.1379915569730013
4,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:28,HH_3,0.8727180773292544,1.0696690513377074
5,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:28,HH_4,0.4830819923557673,1.0393533194816191
6,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:28,HH_5,0.814801393994453,1.1967653504256326
7,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:28,HH_6,1.1293935733736349,1.0573568626940073
8,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:28,HH_7,0.9359906141418839,1.3425246501265975
9,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:28,HH_8,0.8915425067879563,0.546269992456988
10,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:28,HH_9,1.064398322290916,1.14261980132913
11,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:28,HH_0,0.8785144549740184,1.1710317443821798
12,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:28,HH_1,0.9137206720617225,1.0092707878904088
13,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:28,HH_2,1.1308047235239378,1.1379915569730013
14,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:28,HH_3,0.8727180773292544,1.0696690513377074
15,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:28,HH_4,0.4830819923557673,1.0393533194816191
16,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:28,HH_5,0.814801393994453,1.1967653504256326
17,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:28,HH_6,1.1293935733736349,1.0573568626940073
18,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:28,HH_7,0.9359906141418839,1.3425246501265975
19,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:28,HH_8,0.8915425067879563,0.546269992456988
20,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:28,HH_9,1.064398322290916,1.14261980132913
21,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:28,HH_0,0.8785144549740184,1.1710317443821798
22,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:28,HH_1,0.9137206720617225,1.0092707878904088
23,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:28,HH_2,1.1308047235239378,1.1379915569730013
24,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:28,HH_3,0.8727180773292544,1.0696690513377074
25,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:28,HH_4,0.4830819923557673,1.0393533194816191
26,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:28,HH_5,0.814801393994453,1.1967653504256326
27,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:28,HH_6,1.1293935733736349,1.0573568626940073
28,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:28,HH_7,0.9359906141418839,1.3425246501265975
29,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:28,HH_8,0.8915425067879563,0.546269992456988
30,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:28,HH_9,1.064398322290916,1.14261980132913
31,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:28,HH_0,0.8785144549740184,1.1710317443821798
32,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:28,HH_1,0.9137206720617225,1.0092707878904088
33,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:28,HH_2,1.1308047235239378,1.1379915569730013
34,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:28,HH_3,0.8727180773292544,1.0696690513377074
35,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:28,HH_4,0.4830819923557673,1.0393533194816191
36,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:28,HH_5,0.814801393994453,1.1967653504256326
37,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:28,HH_6,1.1293935733736349,1.0573568626940073
38,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:28,HH_7,0.9359906141418839,1.3425246501265975
39,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:28,HH_8,0.8915425067879563,0.546269992456988
40,macro_Caiani,macro_Caiani,Scenario1,0,3,2020-01-13T14:28,HH_9,1.064398322290916,1.14261980132913
41,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:28,HH_0,0.8785144549740184,1.1710317443821798
42,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:28,HH_1,0.9137206720617225,1.0092707878904088
43,macro_Caiani,macro_Caiani,Scenario1,0,4,2020-01-13T14:28,HH_2,1.1308047235239378,1.1379915569730013
