index_no,model,simulation,scenario,run,step,time,agent_name,ammount
24,macro_Caiani,macro_Caiani,Scenario1,0,23,2020-02-07T14:50,CB_0,30.671433311948558
25,macro_Caiani,macro_Caiani,Scenario1,0,24,2020-02-07T14:50,CB_0,30.671433311948558
26,macro_Caiani,macro_Caiani,Scenario1,0,25,2020-02-07T14:50,CB_0,30.671433311948558
27,macro_Caiani,macro_Caiani,Scenario1,0,26,2020-02-07T14:50,CB_0,30.671433311948558
28,macro_Caiani,macro_Caiani,Scenario1,0,27,2020-02-07T14:50,CB_0,30.671433311948558
29,macro_Caiani,macro_Caiani,Scenario1,0,28,2020-02-07T14:50,CB_0,30.671433311948558
30,macro_Caiani,macro_Caiani,Scenario1,0,29,2020-02-07T14:50,CB_0,30.671433311948558
31,macro_Caiani,macro_Caiani,Scenario1,0,30,2020-02-07T14:50,CB_0,30.671433311948558
32,macro_Caiani,macro_Caiani,Scenario1,0,31,2020-02-07T14:50,CB_0,30.671433311948558
33,macro_Caiani,macro_Caiani,Scenario1,0,32,2020-02-07T14:50,CB_0,30.671433311948558
34,macro_Caiani,macro_Caiani,Scenario1,0,33,2020-02-07T14:50,CB_0,30.671433311948558
35,macro_Caiani,macro_Caiani,Scenario1,0,34,2020-02-07T14:50,CB_0,30.671433311948558
36,macro_Caiani,macro_Caiani,Scenario1,0,35,2020-02-07T14:50,CB_0,30.671433311948558
37,macro_Caiani,macro_Caiani,Scenario1,0,36,2020-02-07T14:50,CB_0,30.671433311948558
38,macro_Caiani,macro_Caiani,Scenario1,0,37,2020-02-07T14:50,CB_0,30.671433311948558
39,macro_Caiani,macro_Caiani,Scenario1,0,38,2020-02-07T14:50,CB_0,30.671433311948558
40,macro_Caiani,macro_Caiani,Scenario1,0,39,2020-02-07T14:50,CB_0,30.671433311948558
41,macro_Caiani,macro_Caiani,Scenario1,0,40,2020-02-07T14:50,CB_0,30.671433311948558
42,macro_Caiani,macro_Caiani,Scenario1,0,41,2020-02-07T14:50,CB_0,30.671433311948558
43,macro_Caiani,macro_Caiani,Scenario1,0,42,2020-02-07T14:50,CB_0,30.671433311948558
44,macro_Caiani,macro_Caiani,Scenario1,0,43,2020-02-07T14:50,CB_0,30.671433311948558
45,macro_Caiani,macro_Caiani,Scenario1,0,44,2020-02-07T14:50,CB_0,30.671433311948558
46,macro_Caiani,macro_Caiani,Scenario1,0,45,2020-02-07T14:50,CB_0,30.671433311948558
47,macro_Caiani,macro_Caiani,Scenario1,0,46,2020-02-07T14:50,CB_0,30.671433311948558
48,macro_Caiani,macro_Caiani,Scenario1,0,47,2020-02-07T14:50,CB_0,30.671433311948558
49,macro_Caiani,macro_Caiani,Scenario1,0,48,2020-02-07T14:50,CB_0,30.671433311948558
50,macro_Caiani,macro_Caiani,Scenario1,0,49,2020-02-07T14:50,CB_0,30.671433311948558
51,macro_Caiani,macro_Caiani,Scenario1,0,50,2020-02-07T14:50,CB_0,30.671433311948558
52,macro_Caiani,macro_Caiani,Scenario1,0,51,2020-02-07T14:50,CB_0,30.671433311948558
53,macro_Caiani,macro_Caiani,Scenario1,0,52,2020-02-07T14:50,CB_0,30.671433311948558
54,macro_Caiani,macro_Caiani,Scenario1,0,53,2020-02-07T14:50,CB_0,30.671433311948558
55,macro_Caiani,macro_Caiani,Scenario1,0,54,2020-02-07T14:50,CB_0,30.671433311948558
56,macro_Caiani,macro_Caiani,Scenario1,0,55,2020-02-07T14:50,CB_0,30.671433311948558
57,macro_Caiani,macro_Caiani,Scenario1,0,56,2020-02-07T14:50,CB_0,30.671433311948558
58,macro_Caiani,macro_Caiani,Scenario1,0,57,2020-02-07T14:50,CB_0,30.671433311948558
59,macro_Caiani,macro_Caiani,Scenario1,0,58,2020-02-07T14:50,CB_0,30.671433311948558
60,macro_Caiani,macro_Caiani,Scenario1,0,59,2020-02-07T14:50,CB_0,30.671433311948558
61,macro_Caiani,macro_Caiani,Scenario1,0,60,2020-02-07T14:50,CB_0,30.671433311948558
62,macro_Caiani,macro_Caiani,Scenario1,0,61,2020-02-07T14:50,CB_0,30.671433311948558
63,macro_Caiani,macro_Caiani,Scenario1,0,62,2020-02-07T14:50,CB_0,30.671433311948558
64,macro_Caiani,macro_Caiani,Scenario1,0,63,2020-02-07T14:50,CB_0,30.671433311948558
65,macro_Caiani,macro_Caiani,Scenario1,0,64,2020-02-07T14:50,CB_0,30.671433311948558
66,macro_Caiani,macro_Caiani,Scenario1,0,65,2020-02-07T14:50,CB_0,30.671433311948558
67,macro_Caiani,macro_Caiani,Scenario1,0,66,2020-02-07T14:50,CB_0,30.671433311948558
68,macro_Caiani,macro_Caiani,Scenario1,0,67,2020-02-07T14:50,CB_0,30.671433311948558
69,macro_Caiani,macro_Caiani,Scenario1,0,68,2020-02-07T14:50,CB_0,30.671433311948558
70,macro_Caiani,macro_Caiani,Scenario1,0,69,2020-02-07T14:50,CB_0,30.671433311948558
71,macro_Caiani,macro_Caiani,Scenario1,0,70,2020-02-07T14:50,CB_0,30.671433311948558
72,macro_Caiani,macro_Caiani,Scenario1,0,71,2020-02-07T14:50,CB_0,30.671433311948558
