index_no,model,simulation,scenario,run,step,time,agent_name,expected_wage,labor_capacity
0,macro_Caiani,macro_Caiani, ,0,0,2020-01-13T14:04, ,0.0,0.0
1,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:04,HH_0,0.738177534780363,1.193313801219854
2,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:04,HH_1,1.0602586208683,0.9869261991272241
3,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:04,HH_2,0.9117569353670419,1.3028025271534338
4,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:04,HH_3,1.040589216246117,0.898331768765373
5,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:04,HH_4,1.0295877716670683,1.2773376684840758
6,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:04,HH_5,0.7741249370321318,0.7205267115262559
7,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:04,HH_6,1.086342032502371,1.131401978866074
8,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:04,HH_7,0.8499763732898555,0.8045578376037938
9,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:04,HH_8,1.3020890336729836,1.1266044909525774
10,macro_Caiani,macro_Caiani,Scenario1,0,0,2020-01-13T14:04,HH_9,0.8529452833765947,0.9133460122138911
11,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:04,HH_0,0.738177534780363,1.193313801219854
12,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:04,HH_1,1.0602586208683,0.9869261991272241
13,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:04,HH_2,0.9117569353670419,1.3028025271534338
14,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:04,HH_3,1.040589216246117,0.898331768765373
15,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:04,HH_4,1.0295877716670683,1.2773376684840758
16,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:04,HH_5,0.7741249370321318,0.7205267115262559
17,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:04,HH_6,1.086342032502371,1.131401978866074
18,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:04,HH_7,0.8499763732898555,0.8045578376037938
19,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:04,HH_8,1.3020890336729836,1.1266044909525774
20,macro_Caiani,macro_Caiani,Scenario1,0,1,2020-01-13T14:04,HH_9,0.8529452833765947,0.9133460122138911
21,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:04,HH_0,0.738177534780363,1.193313801219854
22,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:04,HH_1,1.0602586208683,0.9869261991272241
23,macro_Caiani,macro_Caiani,Scenario1,0,2,2020-01-13T14:04,HH_2,0.9117569353670419,1.3028025271534338
